thumbnail,title,subtitles,rating,link,price_period,price_currency,price_value,marketplace
https://a0.muscache.com/im/pictures/miso/Hosting-647664199858827562/original/cfc2fc4c-d703-4827-bc25-f1acb07e0025.jpeg?im_w=720,Private room in Tempelhof,Privatzimmer in Tempelhofer Feld,5.0,https://www.airbnb.com/rooms/647664199858827562,night,$,31,airbnb
https://a0.muscache.com/im/pictures/b9cb8b8c-51b3-46c4-b9cd-d27053f7d628.jpg?im_w=720,Private room in Mitte,"Tiny, individual Room with private Bathroom",4.96,https://www.airbnb.com/rooms/41220512,night,$,40,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-30881310/original/6dd66f58-0d68-4acf-8f40-168ba0936271.jpeg?im_w=720,Hotel room in Prenzlauer Berg,Serviced Apartment - Studio in Prenzlauer Berg,4.69,https://www.airbnb.com/rooms/30881310,night,$,108,airbnb
https://a0.muscache.com/im/pictures/63522495/ae8d0d82_original.jpg?im_w=720,Private room in Lichtenberg,City East perfectly located,4.89,https://www.airbnb.com/rooms/2591901,night,$,34,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-19075304/original/a9883618-b227-4d8b-b3a6-f5712349b50a.jpeg?im_w=720,Private room in Charlottenburg-Wilmersdorf,Musical place next to Bundesplatz (U9 & S-Ring),4.87,https://www.airbnb.com/rooms/19075304,night,$,71,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-725973277956407623/original/395f1a3d-69d2-4993-8222-52fff94971db.jpeg?im_w=720,Apartment in Prenzlauer Berg,Mini Apartment Altbau Prenzlauer Berg,4.97,https://www.airbnb.com/rooms/725973277956407623,night,$,98,airbnb
https://a0.muscache.com/im/pictures/687db9dc-3c7f-457f-b855-d3c8ca0af10d.jpg?im_w=720,Private room in Kreuzberg,Top floor with big private balcony-City center,5.0,https://www.airbnb.com/rooms/634633900022976900,night,$,97,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-843504356821251289/original/813a57cc-a9f2-4290-a3eb-d2d8ad32db5a.jpeg?im_w=720,Apartment in Kreuzberg,Mini & charming apartment,4.67,https://www.airbnb.com/rooms/843504356821251289,night,$,71,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-675125533235815019/original/a870d7f4-fc72-478b-b782-73e611c0ed84.jpeg?im_w=720,Private room in Mitte,Cozy room in Yoga House,4.64,https://www.airbnb.com/rooms/675125533235815019,night,$,77,airbnb
https://a0.muscache.com/im/pictures/95bbe531-fc2a-4350-8b8b-a867acde7e7b.jpg?im_w=720,Private room in Kreuzberg,Staying in Schöneberg,4.82,https://www.airbnb.com/rooms/13798286,night,$,76,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-45606656/original/7301ec85-1b65-4776-9c11-3a2bc36dafe0.jpeg?im_w=720,Private room in Mitte,Minimalist room in Berlin vacations//business trip,4.91,https://www.airbnb.com/rooms/45606656,night,$,81,airbnb
https://a0.muscache.com/im/pictures/f026d25f-0f39-4afa-84f8-ee0324e524a4.jpg?im_w=720,Apartment in Prenzlauer Berg,"Mauerpark, studio under roof",,https://www.airbnb.com/rooms/855537907712443459,night,$,111,airbnb
https://a0.muscache.com/im/pictures/f4fc59f2-958a-402c-8d29-f4e282cbcd57.jpg?im_w=720,Private room in Neukölln,Cozy small room in Neukölln,4.74,https://www.airbnb.com/rooms/20758275,night,$,50,airbnb
https://a0.muscache.com/im/pictures/4463037/e3bd8bb1_original.jpg?im_w=720,Private room in Charlottenburg,Chimaysaberlin Front Room Double Bed,4.4,https://www.airbnb.com/rooms/214518,night,$,50,airbnb
https://a0.muscache.com/im/pictures/806f8886-e482-4d08-a987-00ceba0580ae.jpg?im_w=720,Apartment in Mitte,"Sexy Central Flat with View, Home Working Perfect!",4.9,https://www.airbnb.com/rooms/642955,night,$,125,airbnb
