thumbnail,title,stars,preferredBadge,promotedBadge,location,subwayAccess,sustainability,distanceFromCenter,highlights,link,price_taxesAndCharges,price_currency,price_value,rating_score,rating_scoreDescription,rating_reviews,marketplace
https://cf.bstatic.com/xdata/images/hotel/square200/350641744.webp?k=2c9f1df5eea921229bba1b50170ba7dbf054f99c4bf35cd49a6da68a60cc507b&o=&s=1,Scandic Berlin Kurfürstendamm,,True,True,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,3.2,Standard Double Room,https://www.booking.com/hotel/de/scandic-kurfurstendamm.html?lang=en-us,,$,111,8.1,Very Good,6506.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/25888659.webp?k=d13405d423159c0b5318c5cc1c71acc9751134c75e8e9a17145a620b0995881c&o=&s=1,Hotel Karlshorst,3.0,False,False,"Lichtenberg, Berlin",False,Travel Sustainable property,10.7,Comfort Double Room,https://www.booking.com/hotel/de/thang-long-restaurant.html?lang=en-us,3.0,$,68,6.8,Review score,1254.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/122224367.webp?k=856e42d21995c3c2efd7ff3e571d5403146a47b1676a42faf4f9625eb9296719&o=&s=1,Jugendherberge Berlin Ostkreuz,3.0,False,False,"Lichtenberg, Berlin",False,Travel Sustainable property,6.5,Triple Room,https://www.booking.com/hotel/de/jugendherberge-berlin-ostkreuz.html?lang=en-us,,$,104,8.4,Very Good,156.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/142934061.webp?k=03008cbf07a817c35720fe5f34215575201a5c00687d6050ab2684492d58724d&o=&s=1,Hollywood Media Hotel am Kurfürstendamm,4.0,True,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,4.1,Standard Double or Twin Room,https://www.booking.com/hotel/de/hollywood-media.html?lang=en-us,,$,100,8.3,Very Good,6679.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/115579699.webp?k=e509437fbd34652d89f32d7e5004a52c7a5182ddb7facb9b30e5401ad0b3a26f&o=&s=1,Meliá Berlin,4.0,True,True,"Mitte, Berlin",True,Travel Sustainable property,1.0,Melia Room,https://www.booking.com/hotel/de/melia-berlin.html?lang=en-us,6.0,$,135,8.3,Very Good,5519.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/303680645.webp?k=deb4a56a67640cc84a13deaf2ece56e1cdebdc4dcda716d7266e59bb8fd31b0e&o=&s=1,Hotel AMANO Grand Central,3.0,True,False,"Mitte, Berlin",True,Travel Sustainable property,1.4,Standard Double or Twin Room,https://www.booking.com/hotel/de/amano-grand-central.html?lang=en-us,,$,86,8.1,Very Good,8325.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/442029978.webp?k=3f4cf3eca3caeb3f84544337201310342a510808311a20f949b7d9ce693af415&o=&s=1,"Hotel Berlin, Berlin, a member of Radisson Individuals",,True,False,"Mitte, Berlin",True,Travel Sustainable property,2.1,Cozy Small Room,https://www.booking.com/hotel/de/bbberlin.html?lang=en-us,,$,145,7.9,Good,6749.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/312579193.webp?k=57954e0bd3d2d9a62708afaf1cd7eac83397b92ac0b132ee4f72017e657c1b61&o=&s=1,AMANO East Side,,True,False,"Friedrichshain-Kreuzberg, Berlin",False,Travel Sustainable property,3.8,Standard Double Room,https://www.booking.com/hotel/de/amano-east-side.html?lang=en-us,,$,68,8.3,Very Good,3993.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/338625712.webp?k=2ae64e614d9b1339718e281fc751a3a75ec2a31ff63d477817695f7f2ad1194a&o=&s=1,Hotel ROMY by AMANO,,True,False,"Mitte, Berlin",True,Travel Sustainable property,1.3,Small Double Room,https://www.booking.com/hotel/de/romy-by-amano.html?lang=en-us,,$,83,8.3,Very Good,3091.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/280070148.webp?k=e73150a8811b35ad94be6f3d1d5bda4aab415a26dfe25d5c9a5d7303282c83e7&o=&s=1,Motel One Berlin-Alexanderplatz,,True,False,"Mitte, Berlin",True,Travel Sustainable property,2.4,Queen Room,https://www.booking.com/hotel/de/motel-one-berlin-alexanderplatz-berlin.html?lang=en-us,6.0,$,120,8.7,Excellent,7556.0,booking
