title,isAd,location,paymentOptions,highlightedAmenities,link,snippet_text,snippet_title,price_withTaxesAndCharges,price_currency,price_value,rating_score,rating_reviews,marketplace
Moxy Berlin Ostbahnhof,True,Friedrichshain,,,https://www.hotels.com/ho497828896/moxy-berlin-ostbahnhof-berlin-germany/,"Stylish, pet-friendly hotel in Friedrichshain-Kreuzberg connected to public transportation, comfy rooms and on-site Moxy Bar.",Lifestyle Hotel close to Ostbahnhof,120,$,107,8.8,596.0,hotelscom
Sheraton Berlin Grand Hotel Esplanade,True,Tiergarten,,,https://www.hotels.com/ho109823/sheraton-berlin-grand-hotel-esplanade-berlin-germany/,"An urban oasis of sleek design and intuitive service, located between Potsdamer Platz & Kudamm.",Berlin hotel with panoramic windows,183,$,163,8.6,1000.0,hotelscom
IntercityHotel Berlin Ostbahnhof,False,Friedrichshain,,,https://www.hotels.com/ho178251/intercityhotel-berlin-ostbahnhof-berlin-germany/,,,105,$,93,8.4,1005.0,hotelscom
URBAN LOFT Berlin,False,Berlin,,,https://www.hotels.com/ho2505665600/urban-loft-berlin-berlin-germany/,,,97,$,86,9.0,154.0,hotelscom
Dorint Kurfürstendamm Berlin,False,Berlin,Fully refundable,,https://www.hotels.com/ho185137/dorint-kurfurstendamm-berlin-berlin-germany/,,,166,$,148,9.2,1006.0,hotelscom
Melia Berlin,True,Mitte,,,https://www.hotels.com/ho234741/melia-berlin-berlin-germany/,WIFI free of charge. Online check-in. Exclusive area The Level with additional services and amenities. Underground parking.,Central location in Friedrichstrasse,146,$,130,9.0,1016.0,hotelscom
Pestana Berlin Tiergarten,True,Berlin,,Pool,https://www.hotels.com/ho377867/pestana-berlin-tiergarten-berlin-germany/,"Located in a central and quiet area next to the Tiergarten, Berlin's central park. Book now and Save",Book now this exclusive offer,128,$,114,8.6,1016.0,hotelscom
IntercityHotel Berlin Hauptbahnhof,False,Berlin,,,https://www.hotels.com/ho430898/intercityhotel-berlin-hauptbahnhof-berlin-germany/,,,93,$,83,8.6,1017.0,hotelscom
Steigenberger Hotel Am Kanzleramt,False,Berlin,,,https://www.hotels.com/ho437932/steigenberger-hotel-am-kanzleramt-berlin-germany/,,,126,$,113,9.2,1012.0,hotelscom
Apartmenthaus Berlin Mitte,False,Mitte,,,https://www.hotels.com/ho2918366240/apartmenthaus-berlin-mitte-dixcove-ghana/,,,118,$,105,10.0,3.0,hotelscom
The Social Hub Berlin,False,Mitte,,,https://www.hotels.com/ho1067296224/the-student-hotel-berlin-berlin-germany/,,,99,$,89,8.8,181.0,hotelscom
H4 Hotel Berlin Alexanderplatz,False,Mitte,,,https://www.hotels.com/ho356564/h4-hotel-berlin-alexanderplatz-berlin-germany/,,,124,$,111,8.8,1014.0,hotelscom
Park Inn by Radisson Berlin Alexanderplatz,False,Mitte,,,https://www.hotels.com/ho130899/park-inn-by-radisson-berlin-alexanderplatz-berlin-germany/,,,130,$,116,7.8,1009.0,hotelscom
Maritim proArte Hotel Berlin,False,Mitte,,Pool,https://www.hotels.com/ho119747/maritim-proarte-hotel-berlin-berlin-germany/,,,118,$,105,8.6,1019.0,hotelscom
Scandic Berlin Potsdamer Platz,False,Tiergarten,,,https://www.hotels.com/ho339860/scandic-berlin-potsdamer-platz-berlin-germany/,,,114,$,102,8.6,1005.0,hotelscom
Motel One Berlin - Alexanderplatz,False,Mitte,Fully refundable,,https://www.hotels.com/ho629325120/motel-one-berlin-alexanderplatz-berlin-germany/,,,137,$,122,9.0,475.0,hotelscom
